,date,value,name_B07ZN47WHF
515,2021-03-31,3041.0,Duvet Covers & Sets
516,2021-04-01,3217.0,Duvet Covers & Sets
517,2021-04-02,3072.0,Duvet Covers & Sets
518,2021-04-03,2521.0,Duvet Covers & Sets
519,2021-04-04,3133.0,Duvet Covers & Sets
520,2021-04-05,3104.0,Duvet Covers & Sets
521,2021-04-06,3104.0,Duvet Covers & Sets
522,2021-04-07,3104.0,Duvet Covers & Sets
523,2021-04-08,3784.0,Duvet Covers & Sets
524,2021-04-09,3554.0,Duvet Covers & Sets
525,2021-04-10,3346.0,Duvet Covers & Sets
526,2021-04-11,2706.0,Duvet Covers & Sets
527,2021-04-12,3026.0,Duvet Covers & Sets
528,2021-04-13,2973.0,Duvet Covers & Sets
529,2021-04-14,2857.0,Duvet Covers & Sets
530,2021-04-15,2733.0,Duvet Covers & Sets
531,2021-04-16,2721.0,Duvet Covers & Sets
532,2021-04-17,2904.0,Duvet Covers & Sets
